epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3.9373,2.9476,4.53994,2.08367,0,0,0,0,4.24728,5.15803,2.84753,0.00012861,4.287e-05,0.00012861,4.287e-05,0.00012861,4.287e-05,0.00012861,4.287e-05
2,5.86693,3.30312,4.70253,2.28183,0,0,0,0,4.20434,4.99652,2.80834,0.000298605,9.95349e-05,0.000298605,9.95349e-05,0.000298605,9.95349e-05,0.000298605,9.95349e-05
3,7.59413,3.5019,4.21862,2.49775,0,0,0,0,4.15681,4.93063,2.81364,0.000466901,0.000155634,0.000466901,0.000155634,0.000466901,0.000155634,0.000466901,0.000155634
4,15.6358,3.29031,4.41456,2.33715,0,0,0,0,4.04748,4.88188,2.85798,0.000633501,0.000211167,0.000633501,0.000211167,0.000633501,0.000211167,0.000633501,0.000211167
5,22.1219,3.0813,4.51898,2.03402,0,0,0,0,3.9574,4.8566,2.87491,0.000798402,0.000266134,0.000798402,0.000266134,0.000798402,0.000266134,0.000798402,0.000266134
6,27.5776,3.11917,4.41238,2.13364,0,0,0,0,4.00508,4.79449,2.76143,0.000961606,0.000320535,0.000961606,0.000320535,0.000961606,0.000320535,0.000961606,0.000320535
7,35.5361,3.18475,4.31942,2.24749,0,0,0,0,4.00508,4.79449,2.76143,0.00112311,0.000374371,0.00112311,0.000374371,0.00112311,0.000374371,0.00112311,0.000374371
8,46.0773,2.55997,4.21518,1.80562,0,0,0,0,3.95378,4.81996,2.77727,0.00128292,0.00042764,0.00128292,0.00042764,0.00128292,0.00042764,0.00128292,0.00042764
9,49.6956,2.95079,4.3396,2.04827,0.0006,0.11111,0.00051,0.0001,3.89332,4.915,2.71078,0.00144103,0.000480344,0.00144103,0.000480344,0.00144103,0.000480344,0.00144103,0.000480344
10,56.5897,3.29165,4.32976,2.27727,0.0006,0.11111,0.00051,0.0001,3.89332,4.915,2.71078,0.00159745,0.000532482,0.00159745,0.000532482,0.00159745,0.000532482,0.00159745,0.000532482
11,62.7062,3.18353,4.05265,2.37977,0.00066,0.11111,0.00056,0.00017,3.64731,4.74421,2.56215,0.00175216,0.000584054,0.00175216,0.000584054,0.00175216,0.000584054,0.00175216,0.000584054
12,66.1743,2.62999,3.82886,1.93973,0.00066,0.11111,0.00056,0.00017,3.64731,4.74421,2.56215,0.00190518,0.00063506,0.00190518,0.00063506,0.00190518,0.00063506,0.00190518,0.00063506
13,69.8369,2.6526,3.74039,2.02394,0.0014,0.22222,0.00167,0.00051,3.67738,4.6715,2.54684,0.0020565,0.0006855,0.0020565,0.0006855,0.0020565,0.0006855,0.0020565,0.0006855
14,76.0807,2.17776,3.36642,1.71688,0.0014,0.22222,0.00167,0.00051,3.67738,4.6715,2.54684,0.00220612,0.000735374,0.00220612,0.000735374,0.00220612,0.000735374,0.00220612,0.000735374
15,81.6149,2.82306,3.71899,2.00732,0.00227,0.27778,0.00192,0.00038,3.67534,4.56918,2.61438,0.00235405,0.000784682,0.00235405,0.000784682,0.00235405,0.000784682,0.00235405,0.000784682
16,85.1976,2.60567,3.57542,1.92951,0.00227,0.27778,0.00192,0.00038,3.67534,4.56918,2.61438,0.00250027,0.000833425,0.00250027,0.000833425,0.00250027,0.000833425,0.00250027,0.000833425
17,90.8188,2.46475,3.34092,1.76234,0.00227,0.27778,0.00192,0.00038,3.67534,4.56918,2.61438,0.0026448,0.000881602,0.0026448,0.000881602,0.0026448,0.000881602,0.0026448,0.000881602
18,92.9997,2.92337,3.53095,2.09021,0.37321,0.15325,0.0465,0.02885,3.19725,3.77741,2.32164,0.00278764,0.000929212,0.00278764,0.000929212,0.00278764,0.000929212,0.00278764,0.000929212
19,96.1178,2.466,2.82876,1.79879,0.37321,0.15325,0.0465,0.02885,3.19725,3.77741,2.32164,0.00292877,0.000976257,0.00292877,0.000976257,0.00292877,0.000976257,0.00292877,0.000976257
20,102.627,2.44441,3.13647,1.83503,0.37321,0.15325,0.0465,0.02885,3.19725,3.77741,2.32164,0.00306821,0.00102274,0.00306821,0.00102274,0.00306821,0.00102274,0.00306821,0.00102274
21,106.744,2.45129,3.24965,1.67003,0.37321,0.15325,0.0465,0.02885,3.19725,3.77741,2.32164,0.00320595,0.00106865,0.00320595,0.00106865,0.00320595,0.00106865,0.00320595,0.00106865
22,112.497,2.24477,2.90458,1.63976,0.82189,0.11111,0.12939,0.03055,3.26542,3.30159,2.29144,0.00334199,0.001114,0.00334199,0.001114,0.00334199,0.001114,0.00334199,0.001114
